start_date,Date,n_counts,PDF_value
2019-08-23,2019-08-23,1184,0.9237021833921394
2019-08-15,2019-08-15,1180,0.9138605016291473
2019-12-20,2019-12-20,1178,0.9089396607476513
2019-10-01,2019-10-01,1113,0.7490123320990312
2019-08-02,2019-08-02,1065,0.630912150943127
2019-12-19,2019-12-19,1056,0.608768366976395
2019-08-22,2019-08-22,1051,0.596466264772655
2019-12-13,2019-12-13,1040,0.5694016399244269
2019-10-03,2019-10-03,1037,0.5620203786021829
2019-08-20,2019-08-20,1026,0.5349557537539549
2019-12-18,2019-12-18,1025,0.5324953333132069
2019-11-28,2019-11-28,1020,0.5201932311094669
2019-08-19,2019-08-19,1020,0.5201932311094669
2019-08-21,2019-08-21,966,0.3873305273090747
2019-10-10,2019-10-10,957,0.3651867433423427
2019-08-16,2019-08-16,948,0.34304295937561063
2019-10-04,2019-10-04,945,0.33566169805336665
2019-09-26,2019-09-26,943,0.33074085717187063
2019-08-09,2019-08-09,939,0.32089917540887863
2019-09-20,2019-09-20,933,0.3061366527643906
2019-11-01,2019-11-01,925,0.28645328923840657
2019-09-16,2019-09-16,922,0.2790720279161626
2019-08-08,2019-08-08,919,0.27169076659391855
2019-08-14,2019-08-14,918,0.26923034615317054
2019-09-13,2019-09-13,912,0.2544678235086825
2019-12-17,2019-12-17,911,0.25200740306793457
2019-09-27,2019-09-27,910,0.24954698262718655
2019-12-16,2019-12-16,899,0.2224823577789585
2019-12-27,2019-12-27,897,0.2175615168974625
2019-08-30,2019-08-30,892,0.2052594146937225
2019-10-11,2019-10-11,883,0.18311563072699047
2019-08-29,2019-08-29,876,0.16589268764175444
2019-10-17,2019-10-17,872,0.15605100587876242
2019-12-06,2019-12-06,869,0.1486697445565184
2019-08-05,2019-08-05,866,0.1412884832342744
2019-10-18,2019-10-18,865,0.1388280627935264
2019-12-24,2019-12-24,858,0.12160511970829038
2019-09-30,2019-09-30,855,0.11422385838604637
2019-10-02,2019-10-02,850,0.10192175618230637
2019-09-24,2019-09-24,849,0.09946133574155835
2019-09-12,2019-09-12,845,0.08961965397856635
2019-12-09,2019-12-09,842,0.08223839265632234
2019-11-26,2019-11-26,841,0.07977797221557434
2019-12-23,2019-12-23,840,0.07731755177482633
2019-08-13,2019-08-13,837,0.06993629045258232
2019-08-28,2019-08-28,835,0.06501544957108632
2019-10-14,2019-10-14,825,0.04041124516360629
2019-12-10,2019-12-10,825,0.04041124516360629
2019-10-31,2019-10-31,819,0.025648722519118268
2019-10-25,2019-10-25,815,0.015807040756126257
2019-10-08,2019-10-08,813,0.010886199874630251
2019-10-21,2019-10-21,810,0.0035049385523862426
2019-09-11,2019-09-11,802,-0.016178424973597783
2019-10-24,2019-10-24,800,-0.021099265855093786
2019-12-03,2019-12-03,799,-0.02355968629584179
2019-12-05,2019-12-05,794,-0.035861788499581805
2019-08-07,2019-08-07,794,-0.035861788499581805
2019-08-01,2019-08-01,793,-0.03832220894032981
2019-11-29,2019-11-29,790,-0.04570347026257382
2019-11-27,2019-11-27,790,-0.04570347026257382
2019-12-12,2019-12-12,786,-0.05554515202556583
2019-09-25,2019-09-25,782,-0.06538683378855784
2019-08-06,2019-08-06,781,-0.06784725422930585
2019-12-02,2019-12-02,778,-0.07522851555154986
2019-08-12,2019-08-12,778,-0.07522851555154986
2019-10-30,2019-10-30,777,-0.07768893599229786
2019-09-23,2019-09-23,771,-0.09245145863678587
2019-11-19,2019-11-19,771,-0.09245145863678587
2019-10-29,2019-10-29,770,-0.09491187907753387
2019-10-07,2019-10-07,765,-0.10721398128127389
2019-12-04,2019-12-04,762,-0.1145952426035179
2019-11-04,2019-11-04,762,-0.1145952426035179
2019-11-21,2019-11-21,753,-0.13673902657024992
2019-11-05,2019-11-05,751,-0.14165986745174594
2019-10-23,2019-10-23,749,-0.14658070833324194
2019-09-02,2019-09-02,745,-0.15642239009623396
2019-11-25,2019-11-25,738,-0.17364533318146996
2019-11-14,2019-11-14,737,-0.17610575362221798
2019-09-18,2019-09-18,736,-0.178566174062966
2019-10-09,2019-10-09,729,-0.195789117148202
2019-09-19,2019-09-19,723,-0.21055163979269
2019-11-06,2019-11-06,721,-0.21547248067418603
2019-10-16,2019-10-16,715,-0.23023500331867405
2019-09-17,2019-09-17,712,-0.23761626464091803
2019-12-30,2019-12-30,707,-0.24991836684465807
2019-11-18,2019-11-18,706,-0.2523787872854061
2019-10-22,2019-10-22,704,-0.25729962816690205
2019-11-13,2019-11-13,691,-0.2892850938966261
2019-11-20,2019-11-20,687,-0.29912677565961815
2019-10-15,2019-10-15,686,-0.3015871961003661
2019-09-03,2019-09-03,683,-0.30896845742261014
2019-09-10,2019-09-10,677,-0.32373098006709816
2019-09-09,2019-09-09,677,-0.32373098006709816
2019-09-04,2019-09-04,654,-0.3803206502043022
2019-10-28,2019-10-28,651,-0.3877019115265462
2019-09-05,2019-09-05,648,-0.39508317284879024
2019-11-22,2019-11-22,628,-0.4442915816637503
2019-11-15,2019-11-15,615,-0.4762770473934743
2019-12-31,2019-12-31,607,-0.49596041091945836
2019-09-06,2019-09-06,524,-0.7001753075015426
2019-11-07,2019-11-07,502,-0.7543045571979987
2019-12-11,2019-12-11,470,-0.8330380113019348
2019-12-25,2019-12-25,401,-1.002807021713547
2019-12-26,2019-12-26,389,-1.0323320670025231
2019-07-31,2019-07-31,367,-1.0864613166989792
2019-11-12,2019-11-12,260,-1.3497263038590155
