Date,Event_Count,PDF_Value
2019/7/31,367,6.02E-05
2019/8/1,793,0.002448316
2019/8/2,1065,0.000705928
2019/8/4,3,1.07E-08
2019/8/5,866,0.002311236
2019/8/6,781,0.002424152
2019/8/7,794,0.002449735
2019/8/8,919,0.001952292
2019/8/9,939,0.001781685
2019/8/11,3,1.07E-08
2019/8/12,778,0.002416081
2019/8/13,837,0.002422811
2019/8/14,918,0.001960455
2019/8/15,1180,0.000179053
2019/8/16,948,0.001701394
2019/8/18,1,1.01E-08
2019/8/19,1020,0.001053051
2019/8/20,1026,0.001002819
2019/8/21,966,0.001537237
2019/8/22,1051,0.000806083
2019/8/23,1184,0.000169172
2019/8/25,3,1.07E-08
2019/8/26,1495,3.18E-07
2019/8/27,1510,2.14E-07
2019/8/28,835,0.002427838
2019/8/29,876,0.00225717
2019/8/30,892,0.002156163
2019/9/1,3,1.07E-08
2019/9/2,745,0.002277043
2019/9/3,683,0.00182131
2019/9/4,654,0.001560385
2019/9/5,648,0.001505236
2019/9/6,524,0.000526693
2019/9/8,2,1.04E-08
2019/9/9,677,0.0017686
2019/9/10,677,0.0017686
2019/9/11,802,0.00245775
2019/9/12,845,0.002399154
2019/9/13,912,0.002008557
2019/9/16,922,0.001927563
2019/9/17,712,0.002058969
2019/9/18,736,0.00222449
2019/9/19,723,0.002139052
2019/9/20,933,0.001834166
2019/9/22,2,1.04E-08
2019/9/23,771,0.002394164
2019/9/24,849,0.002385235
2019/9/25,782,0.002426664
2019/9/26,943,0.001746207
2019/9/27,910,0.002024236
2019/9/30,855,0.002361813
2019/10/1,1113,0.00042329
2019/10/2,850,0.002381542
2019/10/3,1037,0.000913615
2019/10/4,945,0.001728339
2019/10/6,1,1.01E-08
2019/10/7,765,0.002372017
2019/10/8,813,0.002459025
2019/10/9,729,0.002179809
2019/10/10,957,0.001619726
2019/10/11,883,0.002215061
2019/10/14,825,0.002447541
2019/10/15,686,0.001847303
2019/10/16,715,0.002081457
2019/10/17,872,0.002279683
2019/10/18,865,0.002316229
2019/10/21,810,0.002459799
2019/10/22,704,0.001996837
2019/10/23,749,0.002298523
2019/10/24,800,0.002456304
2019/10/25,815,0.002458042
2019/10/27,2,1.04E-08
2019/10/28,651,0.001532825
2019/10/29,770,0.002390686
2019/10/30,777,0.002413213
2019/10/31,819,0.002454956
2019/11/1,925,0.001902497
2019/11/3,4,1.11E-08
2019/11/4,762,0.002359809
2019/11/5,751,0.002308812
2019/11/6,721,0.002124991
2019/11/7,502,0.000411271
2019/11/8,62,6.13E-08
2019/11/12,260,8.03E-06
2019/11/13,691,0.001890013
2019/11/14,737,0.002230608
2019/11/15,615,0.001205117
2019/11/17,2,1.04E-08
2019/11/18,706,0.002012651
2019/11/19,771,0.002394164
2019/11/20,687,0.001855908
2019/11/21,753,0.002318795
2019/11/22,628,0.001321967
2019/11/24,10,1.33E-08
2019/11/25,738,0.002236657
2019/11/26,841,0.002411687
2019/11/27,790,0.002443506
2019/11/28,1020,0.001053051
2019/11/29,790,0.002443506
2019/12/1,1,1.01E-08
2019/12/2,778,0.002416081
2019/12/3,799,0.002455441
2019/12/4,762,0.002359809
2019/12/5,794,0.002449735
2019/12/6,869,0.002295798
2019/12/8,11,1.37E-08
2019/12/9,842,0.002408685
2019/12/10,825,0.002447541
2019/12/11,470,0.000277716
2019/12/12,786,0.002435811
2019/12/13,1040,0.000889984
2019/12/15,4,1.11E-08
2019/12/16,899,0.002106948
2019/12/17,911,0.002016419
2019/12/18,1025,0.001011118
2019/12/19,1056,0.000769437
2019/12/20,1178,0.000184166
2019/12/22,5,1.14E-08
2019/12/23,840,0.002414601
2019/12/24,858,0.002348982
2019/12/25,401,0.00010432
2019/12/26,389,8.64E-05
2019/12/27,897,0.002121297
2019/12/29,1,1.01E-08
2019/12/30,707,0.00202049
2019/12/31,607,0.001134774
